                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 2.5816,                 3.4833,                 2.9179,                0.31436,                0.05178,                0.05471,                0.02869,                 2.6932,                 5.2853,                 3.0914,                0.00415,                0.00415,                0.00415
                    132,                 2.5253,                 3.3425,                 2.8014,                0.35301,                 0.0455,                0.06376,                0.03228,                 2.6299,                 5.2435,                 3.0487,               0.004105,               0.004105,               0.004105
                    133,                 2.7399,                 3.1976,                 2.8176,                0.42969,                0.03379,                0.04353,                0.02589,                 2.6661,                 5.2304,                 3.0891,                0.00406,                0.00406,                0.00406
                    134,                 2.5824,                 3.3478,                 2.8063,                0.34265,                0.06749,                0.07369,                0.04118,                 2.6073,                 5.0215,                 3.0132,               0.004015,               0.004015,               0.004015
                    135,                 2.5726,                   3.39,                 2.7568,                0.32951,                0.06255,                0.07582,                0.04151,                 2.6061,                 4.9431,                  3.005,                0.00397,                0.00397,                0.00397
                    136,                 2.6435,                 3.7587,                 2.9145,                0.44416,                0.04258,                0.07077,                0.03784,                 2.6127,                 4.7823,                 3.0145,               0.003925,               0.003925,               0.003925
                    137,                 2.4303,                  3.296,                 2.6514,                0.31453,                0.06988,                0.05921,                  0.031,                 2.6704,                 4.9781,                 3.0554,                0.00388,                0.00388,                0.00388
                    138,                 2.4761,                 3.2068,                 2.8764,                 0.3099,                0.07032,                0.07103,                0.03741,                 2.6493,                 4.9161,                 3.0418,               0.003835,               0.003835,               0.003835
                    139,                 2.4922,                 3.1996,                 2.7727,                0.37422,                0.05805,                0.07085,                0.03869,                 2.6146,                 4.8018,                  3.012,                0.00379,                0.00379,                0.00379
                    140,                 2.4704,                 3.3153,                 2.7824,                0.33522,                0.06348,                0.07356,                0.03902,                 2.6122,                 4.9346,                 3.0072,               0.003745,               0.003745,               0.003745
                    141,                  2.495,                 3.1602,                 2.8013,                0.34677,                0.07111,                0.07187,                 0.0363,                 2.5779,                 5.0839,                   2.97,                 0.0037,                 0.0037,                 0.0037
                    142,                 2.5048,                 3.3029,                 2.8394,                 0.2954,                0.06723,                0.07674,                0.03461,                 2.6384,                 5.2061,                 2.9944,               0.003655,               0.003655,               0.003655
                    143,                 2.5417,                 3.1458,                 2.7268,                0.32375,                0.06983,                  0.078,                0.03739,                 2.5926,                 5.1831,                 2.9725,                0.00361,                0.00361,                0.00361
                    144,                 2.6451,                 3.4381,                 2.7642,                 0.3346,                0.06929,                0.07603,                0.03977,                 2.5783,                 5.0897,                 2.9645,               0.003565,               0.003565,               0.003565
                    145,                 2.4212,                 3.0684,                 2.7014,                0.31973,                0.06235,                 0.0726,                0.03603,                 2.6666,                 5.1985,                 3.0114,                0.00352,                0.00352,                0.00352
                    146,                 2.3933,                 3.0573,                 2.6929,                0.35514,                0.05716,                0.06161,                0.03157,                 2.6849,                 5.3336,                 3.0364,               0.003475,               0.003475,               0.003475
                    147,                 2.4634,                 3.0895,                 2.7168,                0.34863,                0.05623,                 0.0576,                0.03139,                  2.649,                 5.3449,                 3.0071,                0.00343,                0.00343,                0.00343
                    148,                 2.3336,                 3.1033,                 2.6656,                0.33367,                0.08538,                0.09138,                0.05096,                 2.5549,                 4.7454,                 2.9529,               0.003385,               0.003385,               0.003385
                    149,                 2.5743,                 3.3235,                 2.8013,                0.32671,                0.08477,                0.08638,                0.04666,                 2.5675,                 4.7313,                 2.9655,                0.00334,                0.00334,                0.00334
                    150,                 2.5003,                 3.2582,                 2.7615,                0.32159,                 0.0813,                0.08604,                0.04339,                 2.5374,                 4.6999,                  2.959,               0.003295,               0.003295,               0.003295
                    151,                 2.4172,                 3.5215,                 2.8558,                0.31935,                0.08754,                 0.0838,                0.04172,                 2.5238,                 4.7602,                 2.9487,                0.00325,                0.00325,                0.00325
